id,name,artist,dance,energy,loud,mode,speech,acoustic,instrument,live,valence,tempo
5uRkew0DtfAQmv0oEYNwFF ,I Saw the Light - 2015 Remaster                                                                                                                                                  ,Todd Rundgren                                   ,0.504,0.673,-11.834,0,0.0336,0.214,2.29e-06,0.171,0.581,120.418
3M8FzayQWtkvOhqMn2V4T2 ,Lean on Me                                                                                                                                                                       ,Bill Withers                                    ,0.619,0.22,-13.843,1,0.0672,0.782,1.19e-05,0.124,0.426,75.143
2Xb6wJYGi0QXwURw5WWvI5 ,Right Down the Line                                                                                                                                                              ,Gerry Rafferty                                  ,0.783,0.322,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226
0LoQuiekvzqx7n8flgEKzF ,Get It On                                                                                                                                                                        ,T. Rex                                          ,0.728,0.878,-6.926,0,0.0564,0.176,0.856,0.61,0.911,126.59
7JFoeg0arawADjGcz9gBnq ,I Don't Like Mondays                                                                                                                                                             ,The Boomtown Rats                               ,0.464,0.46,-6.874,1,0.0393,0.717,0.0,0.151,0.476,143.603
6HSXNV0b4M4cLJ7ljgVVeh ,Knockin' On Heaven's Door                                                                                                                                                        ,Bob Dylan                                       ,0.513,0.396,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208
2BstRQGodshjGpeDGQiNgo ,Do It Again                                                                                                                                                                      ,Steely Dan                                      ,0.682,0.537,-10.254,0,0.0323,0.218,3.07e-05,0.0556,0.963,124.574
2SpEHTbUuebeLkgs9QB7Ue ,Jolene                                                                                                                                                                           ,Dolly Parton                                    ,0.674,0.537,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578
7Jh1bpe76CNTCgdgAdBw4Z ,Heroes - 2017 Remaster                                                                                                                                                           ,David Bowie                                     ,0.49,0.758,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114
1HOMkjp0nHMaTnfAkslCQj ,My Sharona                                                                                                                                                                       ,The Knack                                       ,0.586,0.7,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245
3Dy4REq8O09IlgiwuHQ3sk ,Waterloo                                                                                                                                                                         ,ABBA                                            ,0.445,0.949,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604
6mHOcVtsHLMuesJkswc0GZ ,The Logical Song - Remastered 2010                                                                                                                                               ,Supertramp                                      ,0.625,0.758,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719
5p3JunprHCxClJjOmcLV8G ,Walk On the Wild Side                                                                                                                                                            ,Lou Reed                                        ,0.575,0.318,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522
1I7zHEdDx8Ny5RxzYPqsU2 ,Reelin' In The Years                                                                                                                                                             ,Steely Dan                                      ,0.523,0.758,-9.81,1,0.0403,0.133,0.0,0.0952,0.766,135.437
1Q1b8eVkUPGlpSArl8JAVw ,Heart of Gold - 2009 Remaster                                                                                                                                                    ,Neil Young                                      ,0.541,0.459,-10.433,0,0.0297,0.189,0.0274,0.099,0.803,171.165
6gTrbqZnyljwXdYQTyBkSx ,You Make Me Feel Like Dancing - Remastered                                                                                                                                       ,Leo Sayer                                       ,0.728,0.718,-5.281,0,0.0501,0.0848,0.0,0.0579,0.733,95.922
5ihS6UUlyQAfmp48eSkxuQ ,Landslide                                                                                                                                                                        ,Fleetwood Mac                                   ,0.414,0.161,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375
61UuPxxYUvacEH6SHIK3sU ,Brown Sugar - 2009 Remaster                                                                                                                                                      ,The Rolling Stones                              ,0.633,0.934,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606
77bNe6jYY8yHdP7orXrz5I ,I Will Always Love You                                                                                                                                                           ,Dolly Parton                                    ,0.446,0.142,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724
3rqXP37YkEnizabzjM7uIu ,"You're The First, The Last, My Everything - Edit                                                                                                                               ",Barry White                                     ,0.631,0.59,-12.138,1,0.0297,0.00367,0.00299,0.0537,0.927,130.145
0z1MCtPlHy0x1g0XojaduR ,Your Smiling Face                                                                                                                                                                ,James Taylor                                    ,0.682,0.509,-11.887,1,0.0784,0.146,5.02e-06,0.0886,0.605,88.934
6XitzIBDSAbU9gU9lhouQa ,"The Harder They Come - From ""The Harder They Come"" Soundtrack                                                                                                                ",Jimmy Cliff                                     ,0.679,0.575,-8.037,1,0.0717,0.632,0.0,0.165,0.79,102.588
6RMo3zv9VjmcGi4V5O3cOL ,Please Mr. Postman                                                                                                                                                               ,Carpenters                                      ,0.669,0.514,-11.503,1,0.0293,0.157,6.97e-06,0.095,0.966,132.955
72ahyckBJfTigJCFCviVN7 ,Don't Bring Me Down                                                                                                                                                              ,Electric Light Orchestra                        ,0.638,0.867,-6.469,1,0.0331,0.144,0.000733,0.0846,0.805,115.692
1B5Tp2Ml9nLlmTSJx8xVfI ,Always On My Mind                                                                                                                                                                ,Elvis Presley                                   ,0.358,0.387,-14.342,1,0.0324,0.746,0.0121,0.119,0.495,181.183
52dm9op3rbfAkc1LGXgipW ,Wild Horses - 2009 Mix                                                                                                                                                           ,The Rolling Stones                              ,0.432,0.389,-6.517,1,0.0255,0.687,0.0107,0.0788,0.158,139.506
0d8U9eJajtUmiJVXbIO624 ,Don't It Make My Brown Eyes Blue                                                                                                                                                 ,Crystal Gayle                                   ,0.675,0.49,-7.818,1,0.0395,0.714,0.000313,0.113,0.353,84.409
28285KFbyCq8sJofn58qlD ,Love Train                                                                                                                                                                       ,The O'Jays                                      ,0.743,0.572,-9.627,1,0.0493,0.186,1.44e-05,0.163,0.675,122.658
2QKh6t4JnWeTnzQpkNXhzW ,You Can Get It If You Really Want                                                                                                                                                ,Jimmy Cliff                                     ,0.894,0.559,-8.547,1,0.0568,0.248,0.0,0.0762,0.929,128.164
2JWKzkQbYsNzx019WyGzaH ,I Don't Want to Talk About It - 2008 Remaster                                                                                                                                    ,Rod Stewart                                     ,0.472,0.373,-12.98,1,0.0262,0.872,0.206,0.147,0.459,135.193
1Ehdm1PDlKrdfyBsjwEvd1 ,Top Of The World                                                                                                                                                                 ,Carpenters                                      ,0.379,0.343,-12.993,1,0.0385,0.806,0.0,0.0991,0.694,184.301
34b3a3Pz9Jlz0092LMyNAB ,What's Going On                                                                                                                                                                  ,Marvin Gaye                                     ,0.265,0.824,-5.654,0,0.0991,0.0991,0.0,0.359,0.811,203.206
37Tmv4NnfQeb0ZgUC4fOJj ,Sultans Of Swing                                                                                                                                                                 ,Dire Straits                                    ,0.733,0.794,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174
0SESMeut7QCvKdJLB6pHLM ,My Sweet Lord - 2020 Mix                                                                                                                                                         ,George Harrison                                 ,0.539,0.74,-7.874,1,0.0298,0.169,0.0,0.128,0.688,120.853
0EA8k9iH93YEJFaBuRt7Tc ,Stumblin' In - 2017 Remaster                                                                                                                                                     ,Suzi Quatro                                     ,0.761,0.723,-10.549,1,0.0313,0.126,0.000292,0.345,0.923,129.269
6BmzbaB08O0FjHXeS0cR5b ,Dancing In The Moonlight (It's Caught Me In It's Spotlight)                                                                                                                      ,Thin Lizzy                                      ,0.671,0.461,-13.874,0,0.13,0.00755,0.0,0.103,0.784,145.187
0s1aSsYlLIEiy16LjFWbdp ,Dirty Work                                                                                                                                                                       ,Steely Dan                                      ,0.631,0.354,-11.112,1,0.0313,0.795,0.000107,0.0879,0.522,73.007
0lIoY4ZQsdn5QzhraM9o9u ,Because the Night                                                                                                                                                                ,Patti Smith                                     ,0.466,0.763,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539
4uCbetXW9LStYPUjCpBVp9 ,Son of a Preacher Man                                                                                                                                                            ,Aretha Franklin                                 ,0.474,0.473,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583
6AplSHtiSr0cqimR27ghdV ,We Can Work It Out                                                                                                                                                               ,Stevie Wonder                                   ,0.619,0.574,-9.775,1,0.0328,0.0805,0.0,0.0948,0.766,105.35
3c4OULLWwgRqBfA2dJtRuY ,Love Is In The Air                                                                                                                                                               ,John Paul Young                                 ,0.557,0.791,-7.201,1,0.0389,0.0254,0.000264,0.0605,0.895,122.34
2EC9IJj7g0mN1Q5VrZkiYY ,Rebel Rebel - 2016 Remaster                                                                                                                                                      ,David Bowie                                     ,0.635,0.686,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988
01UYpHuzHi4eB9PAbDoPY2 ,Summer Breeze                                                                                                                                                                    ,Seals and Crofts                                ,0.49,0.581,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718
3FmAUR4SPWa3P1KyDf21Fu ,Roxanne - Remastered 2003                                                                                                                                                        ,The Police                                      ,0.618,0.748,-8.905,1,0.361,0.0384,4.1e-06,0.0477,0.662,134.001
54eZmuggBFJbV7k248bTTt ,A Horse with No Name                                                                                                                                                             ,America                                         ,0.654,0.506,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179
1BvpeiApX8qhof8Pmi3YlH ,New York Groove                                                                                                                                                                  ,Ace Frehley                                     ,0.826,0.608,-8.442,1,0.162,0.61,0.000164,0.116,0.846,95.085
5IKLwqBQG6KU6MP2zP80Nu ,We Are Family                                                                                                                                                                    ,Sister Sledge                                   ,0.784,0.893,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738
6RANU8AS5ICU5PEHh8BYtH ,Isn't She Lovely                                                                                                                                                                 ,Stevie Wonder                                   ,0.481,0.826,-6.974,0,0.0851,0.182,0.00352,0.324,0.819,118.679
562JrM9b7jiu8LgzV62x3o ,The Rose                                                                                                                                                                         ,Bette Midler                                    ,0.347,0.228,-9.667,1,0.0296,0.901,0.0,0.38,0.184,133.574
6OuRbvP4PgbuzBIapVzmFJ ,Sailing                                                                                                                                                                          ,Rod Stewart                                     ,0.43,0.374,-9.949,1,0.0292,0.372,0.379,0.316,0.191,128.56
0ofHAoxe9vBkTCp2UQIavz ,Dreams - 2004 Remaster                                                                                                                                                           ,Fleetwood Mac                                   ,0.828,0.492,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
3D15FZXmjfna7aFfKmEajd ,Are You Ready For Love? - Remastered                                                                                                                                             ,Elton John                                      ,0.803,0.748,-5.221,1,0.0314,0.254,0.00212,0.113,0.752,116.532
608xszaAxVh4m7NcKJiAbF ,One of These Nights - 2013 Remaster                                                                                                                                              ,Eagles                                          ,0.655,0.606,-10.385,1,0.0285,0.0603,0.0789,0.0757,0.765,110.061
63xdwScd1Ai1GigAwQxE8y ,Let's Stay Together                                                                                                                                                              ,Al Green                                        ,0.756,0.397,-10.701,0,0.0522,0.57,0.0115,0.0542,0.507,101.985
1bp2IO61zbQrbWNmKKxg3f ,The Joker                                                                                                                                                                        ,Steve Miller Band                               ,0.596,0.448,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293
4GhtDORJiSRYxj6M1bv0vX ,Love Really Hurts Without You                                                                                                                                                    ,Billy Ocean                                     ,0.518,0.907,-3.732,1,0.0343,0.00221,1.15e-05,0.0838,0.961,140.982
0ywn1mAGr0E8N5p32JwuHB ,I'd Really Love to See You Tonight - 2012 Remaster                                                                                                                               ,England Dan & John Ford Coley                   ,0.578,0.767,-4.654,1,0.0314,0.195,0.0,0.168,0.666,118.938
2ozTcQyZQmm9tSmc4VZfwU ,Laughter In The Rain                                                                                                                                                             ,Neil Sedaka                                     ,0.495,0.613,-9.463,1,0.0239,0.348,0.0058,0.0406,0.924,100.535
5Vrczz39CvlD3OGCa6utoA ,Grease - 2007 Remaster                                                                                                                                                           ,Frankie Valli                                   ,0.82,0.464,-8.45,1,0.0481,0.156,0.0,0.101,0.872,109.374
77oU2rjC5XbjQfNe3bD6so ,Beast Of Burden - Remastered 1994                                                                                                                                                ,The Rolling Stones                              ,0.783,0.878,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626
2WfaOiMkCvy7F5fcp2zZ8L ,Take on Me                                                                                                                                                                       ,a-ha                                            ,0.573,0.902,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
5huh0htdiJDatAtbHLtpfz ,A Groovy Kind Of Love                                                                                                                                                            ,Phil Collins                                    ,0.46,0.182,-14.711,1,0.0303,0.283,2.57e-05,0.101,0.188,144.066
1Jj6MF0xDOMA3Ut2Z368Bx ,Time After Time                                                                                                                                                                  ,Cyndi Lauper                                    ,0.724,0.436,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439
4kOfxxnW1ukZdsNbCKY9br ,What's Love Got to Do with It                                                                                                                                                    ,Tina Turner                                     ,0.851,0.406,-11.631,1,0.0661,0.219,6.41e-06,0.0853,0.792,97.84
7FwBtcecmlpc1sLySPXeGE ,Dancing In the Dark                                                                                                                                                              ,Bruce Springsteen                               ,0.527,0.942,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723
0SNGe4xksgp7CGnY5kMXOJ ,Every Breath You Take                                                                                                                                                            ,The Police                                      ,0.822,0.478,-8.746,1,0.0343,0.559,0.0073,0.0813,0.722,117.394
4NH4xiPQ7TqNGqj6pZV4ki ,Karma Chameleon                                                                                                                                                                  ,Culture Club                                    ,0.668,0.473,-15.402,1,0.0336,0.231,0.0,0.115,0.962,91.976
5ChkMS8OtdzJeqyybCc9R5 ,Billie Jean                                                                                                                                                                      ,Michael Jackson                                 ,0.92,0.654,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046
2tUBqZG2AbRi7Q0BIrVrEj ,I Wanna Dance with Somebody (Who Loves Me)                                                                                                                                       ,Whitney Houston                                 ,0.709,0.824,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818
0GONea6G2XdnHWjNZd6zt3 ,Summer Of '69                                                                                                                                                                    ,Bryan Adams                                     ,0.508,0.834,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131
3koCCeSaVUyrRo3N2gHrd8 ,Let's Groove                                                                                                                                                                     ,"Earth, Wind & Fire                            ",0.869,0.648,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035
4YwbSZaYeYja8Umyt222Qf ,You Can't Hurry Love - 2016 Remaster                                                                                                                                             ,Phil Collins                                    ,0.62,0.936,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527
0nd1Vs5BIoIU4TJlzR8KVB ,Faith - Remastered                                                                                                                                                               ,George Michael                                  ,0.887,0.48,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846
6pPWRBubXOBAHnjl5ZIujB ,The Best                                                                                                                                                                         ,Tina Turner                                     ,0.662,0.737,-9.54,1,0.0296,0.108,0.0191,0.119,0.744,103.867
7gozgbG5EBTukCFWToTRA5 ,I Still Haven't Found What I'm Looking For - Remastered 2007                                                                                                                     ,U2                                              ,0.565,0.764,-9.43,1,0.0351,0.0139,0.00488,0.079,0.686,100.891
0A4PZuepTcIQVvA5m7R0M1 ,Don't You (Forget About Me) - Remastered                                                                                                                                         ,Simple Minds                                    ,0.602,0.784,-7.976,0,0.0313,0.00398,0.0852,0.0931,0.918,133.019
0lzpfrTARexLFXEACKSXTh ,I'm Still Standing                                                                                                                                                               ,Elton John                                      ,0.489,0.927,-6.298,0,0.17,0.455,0.00165,0.305,0.79,177.354
31H6au3jhblhr6MMJiXnCq ,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack                                                                                                                                ",Eric Carmen                                     ,0.712,0.549,-9.484,1,0.0254,0.011,0.0,0.118,0.552,109.882
6apPqjW8ezpKEicAkkBlvO ,Islands in the Stream                                                                                                                                                            ,Dolly Parton                                    ,0.611,0.524,-8.256,1,0.035,0.68,0.0,0.0753,0.73,203.787
4tyl9OMKMG8F2L0RUYQMH3 ,Walk Of Life                                                                                                                                                                     ,Dire Straits                                    ,0.461,0.918,-8.507,1,0.0959,0.405,0.00033,0.126,0.802,172.435
2olVm1lHicpveMAo4AUDRB ,The Power Of Love                                                                                                                                                                ,Huey Lewis & The News                           ,0.768,0.829,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773
0snPJPxkk0MbTc0xeUvAPt ,Dancing On The Ceiling                                                                                                                                                           ,Lionel Richie                                   ,0.698,0.774,-8.642,1,0.048,0.12,2.26e-06,0.394,0.731,133.197
3OeUlriM0EZHdWleJtjoVr ,Got My Mind Set On You - Remastered 2004                                                                                                                                         ,George Harrison                                 ,0.767,0.854,-6.947,1,0.0426,0.465,2.03e-06,0.485,0.963,149.206
05wIrZSwuaVWhcv5FfqeH0 ,Walking On Sunshine                                                                                                                                                              ,Katrina & The Waves                             ,0.596,0.869,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902
44aTAUBF0g6sMkMNE8I5kd ,Every Little Thing She Does Is Magic                                                                                                                                             ,The Police                                      ,0.558,0.768,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909
7aS418hRnOnYrXeyrZilwk ,A Little Respect - 2009 - Remaster                                                                                                                                               ,Erasure                                         ,0.605,0.785,-7.961,1,0.0257,0.0303,4.14e-06,0.288,0.628,113.803
07ABETRdek3ACMpRPvQuaT ,Always on My Mind                                                                                                                                                                ,Pet Shop Boys                                   ,0.533,0.783,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874
77NNZQSqzLNqh2A9JhLRkg ,Don't Stop Believin'                                                                                                                                                             ,Journey                                         ,0.491,0.802,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25
480dDrqG7LO6qDaphHeXlM ,Invisible Touch - Remastered 2007                                                                                                                                                ,Genesis                                         ,0.623,0.94,-5.731,1,0.0365,0.202,0.00184,0.0472,0.837,131.037
2cFl7utlqyZjCXN1G5nRvA ,Stuck With You                                                                                                                                                                   ,Huey Lewis & The News                           ,0.704,0.544,-11.402,0,0.026,0.0873,1.66e-05,0.041,0.628,120.717
5zA8vzDGqPl2AzZkEYQGKh ,Uptown Girl                                                                                                                                                                      ,Billy Joel                                      ,0.701,0.944,-2.986,1,0.0455,0.0755,0.0,0.601,0.792,128.993
0ZfM5XfJTtFPhOxAERRnNY ,The Look                                                                                                                                                                         ,Roxette                                         ,0.634,0.838,-5.363,1,0.0413,0.0531,8.34e-06,0.0522,0.541,95.011
2vz1CsL5WBsbpBcwgboTAw ,"Footloose - From ""Footloose"" Soundtrack                                                                                                                                      ",Kenny Loggins                                   ,0.583,0.905,-6.132,1,0.0733,0.0984,0.00019,0.0593,0.646,173.982
4czNORk5MjW5WOn98bki32 ,All Night Long (All Night) - Single Version                                                                                                                                      ,Lionel Richie                                   ,0.748,0.603,-12.044,1,0.043,0.15,0.000261,0.0269,0.827,108.831
5XsMz0YfEaHZE0MTb1aujs ,Wake Me Up Before You Go-Go                                                                                                                                                      ,Wham!                                           ,0.618,0.764,-6.027,1,0.0562,0.186,0.0,0.12,0.876,81.366
2vEQ9zBiwbAVXzS2SOxodY ,Nothing's Gonna Stop Us Now                                                                                                                                                      ,Starship                                        ,0.643,0.801,-4.921,1,0.0228,0.0298,0.0,0.0719,0.534,95.988
1KsI8NEeAna8ZIdojI3FiT ,Hungry Heart                                                                                                                                                                     ,Bruce Springsteen                               ,0.641,0.894,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823
798fUF6UnRn27xiVuKyJCi ,Manic Monday                                                                                                                                                                     ,The Bangles                                     ,0.685,0.571,-11.623,1,0.0299,0.335,2.38e-06,0.214,0.869,121.737
1UvTPXlImVd4jcucK4qJwb ,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack                                                                                                             ",Bill Medley                                     ,0.7,0.781,-8.255,0,0.0507,0.0869,0.00342,0.059,0.385,108.694
65E62rOSbm7SZbAMYjNTJq ,Pride (In The Name Of Love) - Remastered 2009                                                                                                                                    ,U2                                              ,0.458,0.843,-7.201,1,0.0316,0.00135,0.000296,0.778,0.713,105.701
0f6pHbsLzpWxl5CfhOUjBA ,I Knew You Were Waiting (For Me)                                                                                                                                                 ,George Michael                                  ,0.71,0.639,-12.839,1,0.045,0.23,0.0,0.172,0.733,107.947
63CHa6rmamv9OsehkRD8oz ,Against All Odds (Take a Look at Me Now) - 2016 Remaster                                                                                                                         ,Phil Collins                                    ,0.58,0.498,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271
3nQuDlaVZApyrG6tdsETe0 ,Valerie                                                                                                                                                                          ,Steve Winwood                                   ,0.722,0.518,-10.78,1,0.0296,0.593,0.00453,0.0854,0.753,116.289
3G0ENKW9vzV0SuYKaWFflI ,Nikita                                                                                                                                                                           ,Elton John                                      ,0.632,0.656,-9.29,1,0.0277,0.123,0.000264,0.0735,0.752,86.605
2v7ywbUzCgcVohHaKUcacV ,Like a Prayer                                                                                                                                                                    ,Madonna                                         ,0.66,0.629,-12.359,1,0.0387,0.432,7.3e-05,0.172,0.324,111.926
7INi4pMPG4IE0Smx5y4KVf ,Easy Lover                                                                                                                                                                       ,Philip Bailey                                   ,0.749,0.699,-13.108,1,0.0371,0.0674,0.00192,0.0763,0.935,128.904
6mYrhCAGWzTdF8QnKuchXM ,If I Could Turn Back Time                                                                                                                                                        ,Cher                                            ,0.658,0.575,-10.365,1,0.0267,0.243,0.0,0.122,0.504,108.329
7aHRctaQ7vjxVTVmY8OhAA ,We Built This City                                                                                                                                                               ,Starship                                        ,0.661,0.908,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091
3oEkrIfXfSh9zGnE7eBzSV ,The Winner Takes It All                                                                                                                                                          ,ABBA                                            ,0.454,0.788,-6.748,1,0.0371,0.574,0.000766,0.0859,0.52,126.15
4gvea7UlDkAvsJBPZAd4oB ,The Boys Of Summer                                                                                                                                                               ,Don Henley                                      ,0.516,0.549,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941
5izGeTxueiFX1UPFGohY9w ,Addicted To Love                                                                                                                                                                 ,Robert Palmer                                   ,0.702,0.578,-13.415,1,0.031,0.382,5.89e-06,0.0425,0.975,111.617
6i8ecOsx4J2Px1maiqzqoG ,Everywhere                                                                                                                                                                       ,Fleetwood Mac                                   ,0.69,0.54,-10.516,1,0.0317,0.218,0.00657,0.115,0.764,114.846
23l1kVpqMVREiwU1YAlcr4 ,I Guess That's Why They Call It The Blues                                                                                                                                        ,Elton John                                      ,0.673,0.663,-7.29,1,0.0269,0.217,0.017,0.177,0.671,120.634
1kIu9zpYtWjgrLlsactlna ,Jump (Original Mix)                                                                                                                                                              ,The Pointer Sisters                             ,0.846,0.826,-7.909,0,0.098,0.0867,0.0,0.12,0.813,134.454
7sMGwiS4vOMcz86ZY3vKYM ,Girls Just Want to Have Fun                                                                                                                                                      ,Cyndi Lauper                                    ,0.705,0.847,-2.588,1,0.0361,0.414,3.21e-06,0.406,0.743,120.527
37Q5anxoGWYdRsyeXkkNoI ,Heaven Is a Place on Earth                                                                                                                                                       ,Belinda Carlisle                                ,0.64,0.852,-8.119,0,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902
6Wiamk8BAAP50gAAJopsy2 ,Don't Get Me Wrong - 2007 Remaster                                                                                                                                               ,Pretenders                                      ,0.46,0.932,-6.264,1,0.0468,0.139,0.00504,0.114,0.849,203.617
2fuCquhmrzHpu5xcA1ci9x ,Under Pressure - Remastered 2011                                                                                                                                                 ,Queen                                           ,0.671,0.712,-7.815,1,0.0476,0.429,0.0,0.103,0.462,113.805
6ADSaE87h8Y3lccZlBJdXH ,With Or Without You - Remastered                                                                                                                                                 ,U2                                              ,0.54,0.429,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171
0qxYx4F3vm1AOnfux6dDxP ,You Can Call Me Al                                                                                                                                                               ,Paul Simon                                      ,0.776,0.763,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433
37ZJ0p5Jm13JPevGcx4SkF ,Livin' On A Prayer                                                                                                                                                               ,Bon Jovi                                        ,0.532,0.887,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511
37BTh5g05cxBIRYMbw8g2T ,Rosanna                                                                                                                                                                          ,TOTO                                            ,0.365,0.513,-13.034,0,0.0357,0.0208,0.000147,0.205,0.739,80.647
0J2p4KYdr6Mg4ET6JPlbe1 ,Super Trouper                                                                                                                                                                    ,ABBA                                            ,0.764,0.626,-8.274,1,0.0288,0.457,6.35e-06,0.201,0.961,118.34
2Y90nL1ohB4sgYELDs7uNx ,Glory Days                                                                                                                                                                       ,Bruce Springsteen                               ,0.574,0.96,-4.906,1,0.032,0.0457,0.0,0.121,0.978,117.486
0ire4j2mcGovF5JA1D2cTp ,Don't Leave Me This Way (with Sarah Jane Morris)                                                                                                                                 ,The Communards                                  ,0.64,0.926,-5.597,1,0.0322,0.135,2.04e-06,0.134,0.901,131.997
4YBIuDWPsVy9pXLCUBORZN ,The Living Years                                                                                                                                                                 ,Mike & The Mechanics                            ,0.527,0.429,-12.431,1,0.0321,0.655,0.0,0.0865,0.277,97.893
4CoSCPlKNrWli7E5kFtbcl ,Little Lies - 2017 Remaster                                                                                                                                                      ,Fleetwood Mac                                   ,0.64,0.649,-10.345,1,0.0264,0.216,8.3e-05,0.0551,0.865,124.825
7HKez549fwJQDzx3zLjHKC ,Start Me Up - Remastered 2009                                                                                                                                                    ,The Rolling Stones                              ,0.631,0.932,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429
1A2PWRltFrX8iB8IP3CUgo ,St. Elmos Fire (Man in Motion)                                                                                                                                                   ,John Parr                                       ,0.612,0.6,-10.945,1,0.0327,0.15,3.04e-06,0.222,0.471,111.203
5RYLa5P4qweEAKq5U1gdcK ,A Kind Of Magic - Remastered 2011                                                                                                                                                ,Queen                                           ,0.67,0.776,-5.874,1,0.0356,0.0184,0.00294,0.128,0.703,130.128
5NwkWwfRJaT55hEPtCmJHx ,You're the Voice                                                                                                                                                                 ,John Farnham                                    ,0.369,0.762,-8.993,1,0.0464,0.22,2.8e-05,0.579,0.644,84.957
6V50MyHPGhEmwYu0Wdyf0t ,The Way It Is                                                                                                                                                                    ,Bruce Hornsby                                   ,0.582,0.689,-12.203,1,0.0277,0.607,0.0571,0.145,0.531,111.166
0PXw9NKvolWTo7U9JkNzmc ,"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack                                                                                                                         ",Glenn Frey                                      ,0.622,0.865,-6.369,1,0.0531,0.0167,2.34e-05,0.0692,0.87,149.706
4m2GdLuOhDt6rFbgOFMHIL ,Purple Rain                                                                                                                                                                      ,Prince                                          ,0.383,0.57,-7.019,1,0.0318,0.0416,0.00683,0.746,0.183,114.147
3cbV252akVZInSvJk7jAYX ,Flashdance...What a Feeling - Radio Edit                                                                                                                                         ,Irene Cara                                      ,0.572,0.654,-7.027,0,0.0344,0.0058,3.21e-06,0.09,0.399,122.491
2374M0fQpWi3dLnB54qaLX ,Africa                                                                                                                                                                           ,TOTO                                            ,0.671,0.373,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
6A8OnjnpShshNpcqWtZRjr ,Papa Don't Preach                                                                                                                                                                ,Madonna                                         ,0.833,0.934,-3.243,0,0.0313,0.343,7.55e-06,0.0521,0.964,121.879
0Zt9fqRK58Y0onY1VwaKp7 ,She Drives Me Crazy                                                                                                                                                              ,Fine Young Cannibals                            ,0.796,0.693,-6.02,1,0.0413,0.164,1.77e-05,0.0408,0.954,108.8
2xcrseImDFEf8Urommws03 ,New Sensation                                                                                                                                                                    ,INXS                                            ,0.682,0.954,-4.951,1,0.0625,0.00712,4.04e-05,0.052,0.928,115.475
1y748kOQshZECWk5MddfOv ,Love Changes (Everything)                                                                                                                                                        ,Climie Fisher                                   ,0.624,0.868,-5.867,1,0.0269,0.305,1.38e-05,0.186,0.806,111.143
029NqmIySn1kOY305AAhxT ,Sledgehammer                                                                                                                                                                     ,Peter Gabriel                                   ,0.657,0.685,-5.203,1,0.0334,0.0246,0.0,0.037,0.424,96.458
