id,name,artist,dance,energy,loud,mode,speech,acoustic,instrument,live,valence,tempo
596scNUBRpj2AygfaBVyTj ,Parabens                                                                                                                                                                         ,Marcos Valle                                    ,0.737,0.802,-8.069,1,0.0424,0.0146,0.346,0.0897,0.476,109.821
4PwzeZs0cTVuzZbCmw85hc ,O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,0.682,0.281,-12.537,0,0.0341,0.973,0.884,0.115,0.436,118.107
22QBm5IGpx49Ggg7b0DMhL ,Once Again                                                                                                                                                                       ,Stan Getz                                       ,0.623,0.331,-14.346,1,0.0372,0.846,0.0781,0.078,0.583,90.439
4Lx7fiZRVb7j4U1xFZ9fyo ,Mariana                                                                                                                                                                          ,Bïa                                             ,0.831,0.43,-8.214,0,0.103,0.504,0.0,0.233,0.816,140.031
2BkIiZYOniMrWBBlADyVNX ,Mariana                                                                                                                                                                          ,Seu Jorge                                       ,0.617,0.526,-10.638,0,0.0376,0.538,0.389,0.105,0.931,167.706
4lnLWhIiUKxq4Rh898vkVk ,Carnaval Inesquecível Na Cidade Alta                                                                                                                                             ,Mundo Livre S/A                                 ,0.746,0.557,-9.756,1,0.0609,0.0519,0.00188,0.053,0.693,150.165
1b0Mc4h1XFArQAnQYBmIQb ,Garota De Ipanema                                                                                                                                                                ,Leila Pinheiro                                  ,0.73,0.145,-18.707,1,0.051,0.875,1.38e-05,0.131,0.56,136.846
5Q2pilVN5fcIfzWGF9aGvV ,Corcovado - Remastered                                                                                                                                                           ,Cannonball Adderley                             ,0.771,0.278,-17.141,1,0.0471,0.72,0.661,0.294,0.742,123.542
1SEK1Yd01136xaLxAe0G70 ,O Pato (The Duck) - Live At Carnegie Hall/1964                                                                                                                                   ,João Gilberto                                   ,0.621,0.18,-23.524,1,0.0619,0.875,0.827,0.698,0.884,169.916
7fnFmtEpfKLnJRkayFeeZ5 ,August Day Song                                                                                                                                                                  ,Bebel Gilberto                                  ,0.718,0.294,-13.342,0,0.0385,0.602,0.0072,0.125,0.237,103.021
5ZItv6TcaDqcf8Jp2se0po ,Os Grilos                                                                                                                                                                        ,Marcos Valle                                    ,0.573,0.805,-11.327,0,0.0746,0.373,0.489,0.0834,0.694,100.029
0OIXsw1P2SZvF6T2qsFFzS ,Saudade Fez Um Samba                                                                                                                                                             ,João Gilberto                                   ,0.706,0.303,-14.678,1,0.0534,0.817,0.0,0.0874,0.884,87.806
1FSrV96XeBhJZQ4qIaOR79 ,OBI                                                                                                                                                                              ,Toots Thielemans                                ,0.566,0.314,-17.921,0,0.0761,0.756,0.000442,0.0845,0.337,82.007
418er4nP9ZkcjB8oNzTEgb ,Mas Que Nada                                                                                                                                                                     ,Jorge Ben Jor                                   ,0.504,0.566,-7.506,0,0.0284,0.563,1.75e-05,0.0902,0.573,89.423
5BUYtDh62uirLH4vMnE2dA ,Laia Ladia                                                                                                                                                                       ,Brazilian Jazz                                  ,0.387,0.469,-13.485,0,0.0419,0.226,0.0424,0.074,0.509,85.595
5v8WqKhW9CBk2WF9PAcSIw ,Triste                                                                                                                                                                           ,Brazilian Jazz                                  ,0.61,0.34,-11.653,1,0.034,0.906,0.859,0.0975,0.459,103.825
4Wzym5Rbnn8Ny8rFqEObm1 ,Só Danço Samba                                                                                                                                                                   ,Stan Getz                                       ,0.611,0.279,-12.032,1,0.0554,0.838,0.438,0.131,0.677,81.546
0KY71RFPZJPqR04jOQFUw2 ,Samba Triste                                                                                                                                                                     ,Stan Getz                                       ,0.637,0.19,-22.466,0,0.0676,0.841,0.263,0.12,0.687,143.111
5bcc5zWUX4zjCnAvyyuHu4 ,País Tropical                                                                                                                                                                    ,Wilson Simonal                                  ,0.708,0.599,-9.516,1,0.0336,0.693,0.0,0.296,0.917,129.048
219DjV3d1L9rHlhNgQ5QQB ,Coracao Vagabundo                                                                                                                                                                ,Toots Thielemans                                ,0.584,0.0506,-20.168,1,0.0647,0.901,0.163,0.0693,0.126,97.627
78u9OrQFHqmEWemJQrQQIE ,Pais Tropical                                                                                                                                                                    ,Sergio Mendes & Brasil '66                      ,0.701,0.585,-9.991,1,0.0444,0.484,0.0,0.815,0.845,122.276
6CWSXBQ2QwIqtRVDCGZatZ ,Life On Mars?                                                                                                                                                                    ,Seu Jorge                                       ,0.66,0.148,-16.689,1,0.0497,0.893,0.00175,0.117,0.272,124.058
4az3kPwzJjdQBb8bYaYhy0 ,Apelo                                                                                                                                                                            ,Brazilian Jazz                                  ,0.506,0.252,-14.083,0,0.0502,0.919,0.863,0.111,0.2,74.917
7a1STMihNJUyRxHGxDAFP8 ,"O Que É, O Que É                                                                                                                                                               ",Cesar Camargo Mariano & Romero Lubambo          ,0.696,0.322,-15.868,1,0.0372,0.978,0.879,0.0737,0.658,105.776
4JrQ68jT83CXIyVZTHj4Rx ,Maroca                                                                                                                                                                           ,Mundo Livre                                     ,0.652,0.725,-7.794,0,0.0316,0.0335,0.0284,0.177,0.581,147.876
55OpI2p7uXEzsDuhNf7Kzn ,Apelo                                                                                                                                                                            ,Jenny Chi                                       ,0.531,0.153,-12.022,1,0.0356,0.923,0.000131,0.125,0.164,81.972
1BTO5gV9xSAB7EOBKSlcFY ,Samba Da Minha Terra - Live At Carnegie Hall/1964                                                                                                                                ,Stan Getz                                       ,0.576,0.322,-23.134,0,0.178,0.879,0.593,0.694,0.805,83.696
0bQViEvXvH8iNl8hRRkU5o ,Corcovado                                                                                                                                                                        ,Stan Getz                                       ,0.53,0.0902,-18.37,0,0.0469,0.926,0.00782,0.286,0.364,126.648
1dtPIHAk2W9tn9WVW6hMzS ,Chega de Saudade                                                                                                                                                                 ,Jenny Chi                                       ,0.745,0.368,-11.419,1,0.0498,0.83,0.00292,0.151,0.582,98.953
7ArXv6K80rPeN38OtKOU00 ,Coisa Feita                                                                                                                                                                      ,Toots Thielemans                                ,0.579,0.342,-17.379,1,0.042,0.879,0.813,0.109,0.774,117.024
0OSEW45vRnj45QdIpV1NY4 ,Felicia and Bianca                                                                                                                                                               ,Toots Thielemans                                ,0.575,0.274,-18.579,0,0.0472,0.686,0.343,0.102,0.628,105.678
5p62Lc3ALej4hOuClxLGUx ,Rosa Morena                                                                                                                                                                      ,Dorival Caymmi                                  ,0.526,0.489,-11.555,0,0.0354,0.206,0.0,0.105,0.717,95.995
3F6mq6sojBFJxYbfjBwqMT ,Insensatez                                                                                                                                                                       ,Stan Getz                                       ,0.67,0.187,-15.997,1,0.037,0.945,0.618,0.104,0.305,127.676
5LtticIcN2PoWNV43w3Xmm ,Menina Moca                                                                                                                                                                      ,Stan Getz                                       ,0.593,0.475,-10.763,0,0.0336,0.797,0.000373,0.129,0.789,106.501
0i4xlmrZ5NVmx6VWSqBeAq ,So Nice (Summer Samba)                                                                                                                                                           ,Marcos Valle                                    ,0.773,0.492,-11.472,1,0.0397,0.549,0.0,0.103,0.822,122.054
7Lh1a33hTfzJW42Hf7OTmn ,Santa Maria de Feira                                                                                                                                                             ,Devendra Banhart                                ,0.542,0.377,-12.211,1,0.033,0.933,0.319,0.15,0.729,107.113
0mr34YS5FIX0b2mi03HuhE ,Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,Tribalistas                                     ,0.67,0.822,-6.687,0,0.057,0.67,0.00115,0.132,0.833,145.56
6uHi0xmyuv7NI0nyVeXjXE ,Blue Bossa                                                                                                                                                                       ,Tete Montoliu                                   ,0.599,0.518,-13.434,1,0.0553,0.823,0.87,0.2,0.962,110.723
40RMFaZwnpzMqqqFewk0jk ,Aguas De Março                                                                                                                                                                   ,Tempo Rei                                       ,0.797,0.411,-10.07,0,0.0896,0.79,0.0,0.101,0.606,135.955
761Z36M57ALRBS2TsGMg7X ,Bossa Dorado                                                                                                                                                                     ,Pete Krebs & The Kung Pao Chi                   ,0.78,0.446,-13.332,1,0.0499,0.708,0.843,0.118,0.831,133.222
7DWWkZl6SvvIKzGGzIIKYi ,Orange Afternoon                                                                                                                                                                 ,Bebe                                            ,0.615,0.63,-10.809,1,0.0448,0.43,0.244,0.113,0.557,91.122
19SaQ50zJG69AUrr4uBkAS ,Homens                                                                                                                                                                           ,Manu Chao                                       ,0.736,0.439,-12.062,0,0.0527,0.796,0.000474,0.0941,0.972,149.984
3b0raPrfKei6JVvSpjS2xW ,"Lisboa, Menina E Moça                                                                                                                                                          ",Som Ibérico                                     ,0.524,0.578,-10.644,0,0.0505,0.716,0.703,0.0876,0.567,78.644
1ygyaDfAly6uDoRi6bm3yU ,Lisboa menina e moça                                                                                                                                                             ,Various Artists                                 ,0.708,0.333,-10.643,0,0.0285,0.862,0.000594,0.0915,0.757,101.86
6YpFxiVx2bpyyiNbrndLka ,Para Machuchar Meu Coracao                                                                                                                                                       ,Stan Getz                                       ,0.617,0.131,-17.83,1,0.0387,0.961,0.0101,0.0987,0.449,131.953
6L2H2poOGMQzxPSAd4ilDB ,Esperando Na Janela - Versão Acústica                                                                                                                                            ,Gilberto Gil                                    ,0.615,0.157,-14.081,1,0.0406,0.93,0.00193,0.114,0.513,148.99
2bQ3ARYaM7JlYOpofCtlft ,Água de beber                                                                                                                                                                    ,Tania Maria                                     ,0.771,0.555,-12.366,1,0.0493,0.871,0.422,0.0829,0.553,98.094
4S18cCp2R0Z0SdbCwNC4ZL ,Mama África                                                                                                                                                                      ,Chico César                                     ,0.676,0.469,-8.715,0,0.0482,0.648,0.0,0.987,0.885,163.709
2hjDxNmryN9ziHAIYiRksM ,Á Primeira Vista                                                                                                                                                                 ,Chico César                                     ,0.542,0.148,-12.99,1,0.0394,0.782,0.0,0.704,0.248,89.585
6T0uy8Np5fDNpb8uYA5kXg ,Tambores                                                                                                                                                                         ,Chico César                                     ,0.598,0.278,-11.505,1,0.0472,0.72,0.000161,0.754,0.567,125.032
7l7d9M7hSNef7DJ9p2718X ,Guarda-me A Vida Na Mão                                                                                                                                                          ,Ana Moura                                       ,0.482,0.136,-15.844,0,0.0318,0.946,0.000762,0.104,0.26,135.574
794003xwvF9cGLRSY0dlY7 ,A Prosa Impúrpura do Caicó                                                                                                                                                       ,Chico César                                     ,0.505,0.209,-14.983,1,0.0387,0.849,0.0094,0.701,0.503,135.836
2Baiob9mbEkOJZxD6Yro3k ,Paraíba                                                                                                                                                                          ,Chico César                                     ,0.569,0.186,-14.838,0,0.0365,0.959,0.137,0.738,0.536,84.091
4tJ1bFWFJ6teL8hTObeXC4 ,Berekerê - Voice                                                                                                                                                                 ,Geraldo Azevedo                                 ,0.434,0.573,-11.203,0,0.0666,0.83,0.0,0.0584,0.786,172.189
4KQ4wubF8GZLXK21zwyZAb ,Pagode da Saidera                                                                                                                                                                ,Martinho Da Vila                                ,0.584,0.792,-10.644,1,0.103,0.723,1.34e-06,0.204,0.938,103.671
1tX11VR5wSRhBgcrTUoHY7 ,Disfarça e Chora                                                                                                                                                                 ,Djavan                                          ,0.747,0.185,-11.699,1,0.0498,0.905,0.0172,0.103,0.588,151.833
1iGP5Okq5Zb3O7GYFwRFmt ,Tudo isto é fado                                                                                                                                                                 ,Quatro Ventos                                   ,0.405,0.317,-10.836,1,0.0299,0.9,4.08e-05,0.12,0.315,139.316
7Dp8OX5lXh4VLWQ0saBM7q ,Quando Te Vi                                                                                                                                                                     ,Luisa Sobral                                    ,0.543,0.129,-14.344,1,0.0342,0.97,0.0133,0.157,0.353,134.502
0mdisJ6qrkdpZwQLCLWZCb ,Sr. Vinho                                                                                                                                                                        ,Luisa Sobral                                    ,0.348,0.337,-10.368,1,0.0348,0.816,0.000811,0.103,0.398,192.711
5WXNcxN523Cs28zDKVZW5H ,Inês                                                                                                                                                                             ,Luisa Sobral                                    ,0.462,0.0827,-13.262,1,0.0371,0.965,0.000489,0.111,0.224,135.193
5ttlmsVFycrU0rfzNlenAV ,Seja Agora                                                                                                                                                                       ,Deolinda                                        ,0.665,0.783,-6.046,1,0.083,0.832,0.0,0.0862,0.831,98.179
3O1nHNi5bksuZbMzBWVak0 ,Algo Novo                                                                                                                                                                        ,Deolinda                                        ,0.83,0.431,-9.463,1,0.0378,0.863,2.26e-05,0.118,0.506,131.959
